"","StationX","StationY","FUAId","FUAName","NO2AveGround","Dist","Pop2015","CBDX","CBDY","StationBackgrd"
"110",-182563.964901,5283433.35273,3872,"Pamplona",23.594607,1048.82652204,336603.49343,-183024.933541,5284375.44879,"Traffic"
"111",495613.495591,6517465.45599,1372,"Charleroi",28.081974,1055.74697947,912883.421442,494667.312749,6517933.79317,"Background"
"112",2835454.37223,9610998.14137,239,"Oulu",22.8244,1056.54336716,205214.706524,2835531.31259,9612051.87951,"Traffic"
"113",958683.454712,5606831.10468,841,"Alessandria",30.62737,1057.8516764,102360.263241,959059.714646,5607819.77987,"Traffic"
"114",561072.720135,5993718.04523,3798,"Dijon",20.481207,1057.92826521,341032.959521,561226.373185,5994764.75577,"Traffic"
"115",2650098.40318,5514874.55253,1231,"Craiova",20.421893,1067.80521576,283020.838044,2649030.61225,5514880.07599,"Traffic"
"116",431318.499028,5404517.12203,3541,"Montpellier",42.168046,1073.41867218,649423.035913,431319.011179,5405590.54058,"Traffic"
"117",1158898.23807,5421272.23191,2647,"Pisa",32.068874,1079.21195525,164302.838444,1157844.04246,5421503.25152,"Traffic"
"118",688090.151562,6296111.56408,4088,"Metz",29.516798,1079.34271131,361241.200459,687543.165661,6295181.08726,"Traffic"
"119",1323465.1809,5382422.94448,3407,"Arezzo",15.079951,1082.58073067,103785.0206,1322777.22648,5383258.8271,"Background"
"120",1362395.94454,5728021.54372,3502,"Treviso",28.344486,1092.7575202,270522.059919,1363137.22049,5727218.65583,"Background"
"121",203192.18155,5120661.97205,4490,"Manresa",26.822768,1097.89065006,141767.000344,203372.917669,5119579.06008,"Traffic"
"122",1645921.01029,4999689.98946,4465,"Avellino",21.029261,1098.7586125,144609.724161,1647019.73335,4999681.15057,"Background"
"123",689115.626711,6222115.05358,4192,"Nancy",24.085732,1100.27514101,396605.383316,688364.576329,6222919.12367,"Background"
"124",430218.885098,5405542.26709,3541,"Montpellier",26.31078,1101.18469111,649423.035913,431319.011179,5405590.54058,"Background"
"125",262775.891909,6249918.05893,2702,"Paris",58.914907,1101.82158335,11709852.5595,261869.467193,6250544.48134,"Traffic"
"126",1587299.38721,4448685.75668,4432,"Gela",23.789283,1103.01983407,74346.3685868,1586313.87622,4448190.357,"Traffic"
"127",2363856.56522,5741131.43053,148,"Timișoara",20.432017,1103.33245064,358871.395971,2362922.33892,5740544.43503,"Background"
"128",-472398.842035,7531742.91407,955,"Glasgow",23.662943,1107.35882111,1743356.14606,-472956.503329,7530786.22319,"Background"
"129",546022.444092,6867861.6134,1427,"Amsterdam",28.147123,1117.1242502,1929349.97444,545463.536202,6866894.35513,"Background"
"130",1107653.75764,6827433.55501,4014,"Hildesheim",40.964539,1117.78431508,146151.464152,1107605.55683,6828550.29959,"Traffic"
"131",211633.825407,6091409.1595,2639,"Orléans",29.163493,1117.90626094,372252.559634,212491.616183,6090692.28476,"Traffic"
"132",122322.086624,6349287.73102,2159,"Rouen",40.561147,1125.52838496,671639.45266,122436.592842,6350407.41958,"Traffic"
"133",-21150.7032507,4716897.98173,4190,"Gandia",14.331281,1134.6280908,147465.488554,-20016.3571251,4716872.68802,"Traffic"
"134",-532118.297941,4564264.88496,2700,"Córdoba",32.635313,1136.60596458,286536.558963,-531690.88608,4563211.70301,"Traffic"
"135",895785.827343,6849498.96125,2004,"Osnabrück",50.162783,1140.24285967,362816.223598,895143.402258,6850441.0036,"Traffic"
"136",1272244.41152,6235831.02641,4679,"Ingolstadt",24.360411,1141.57215602,223889.700064,1271884.18227,6234747.78042,"Traffic"
"137",1640183.82638,4427560.53253,4564,"Ragusa",7.295917,1152.40464864,86539.0611435,1639802.89062,4428648.15582,"Background"
"138",1111355.90994,6172760.11981,4255,"Ulm",43.258604,1153.14307226,292644.784769,1112439.04811,6173155.78463,"Traffic"
"139",-471795.824353,7530781.60865,955,"Glasgow",30.65265,1160.68814903,1743356.14606,-472956.503329,7530786.22319,"Traffic"
"140",1589951.54934,6157374.9006,361,"Linz",43.409081,1168.09134759,417919.471337,1589961.85331,6158542.9465,"Traffic"
"141",912548.204947,5604883.93416,420,"Asti",31.354603,1172.02710439,77117.7753294,913366.40369,5605723.09943,"Traffic"
"142",-409903.102518,4927408.26741,3147,"Madrid",54.800343,1172.75561344,6131918.9979,-411001.745167,4926997.97476,"Traffic"
"143",4798368.76451,4954258.54706,5574,"Kars",24.256686,1178.87651265,80158.0466404,4797228.85299,4954559.13242,"Background"
"144",2890308.83243,5442469.62111,518,"Ruse",19.993977,1179.08743402,116723.461389,2889275.33648,5441902.05323,"Background"
"145",1831132.33822,5390024.24433,556,"Split",22.396964,1182.98223895,289206.826691,1829969.97704,5389804.32738,"Traffic"
"146",1287401.45074,6129719.12748,4736,"Munich",47.549879,1184.65657954,2435209.28736,1288585.09562,6129768.07653,"Traffic"
"147",4044152.49771,5054834.8573,4309,"Samsun",66.8677,1190.20424571,642721.036007,4044342.85456,5056009.74045,"Traffic"
"148",-474097.354825,7530431.31543,955,"Glasgow",60.598815,1194.78100673,1743356.14606,-472956.503329,7530786.22319,"Traffic"
"149",993790.282523,5530366.89191,1309,"Genoa",26.440607,1198.97470812,723323.349156,994374.024443,5529319.61653,"Background"
"150",1055686.92503,6677069.93556,3713,"Kassel",22.079501,1205.17437564,419848.680282,1056802.68006,6676614.37438,"Background"
"151",973386.533056,6748678.60169,3144,"Paderborn",44.80089,1206.44887288,238769.577031,974487.482035,6749171.98818,"Traffic"
"152",2684566.59108,7750029.66183,279,"Riga",26.744409,1207.1928649,788480.592501,2683495.17562,7749473.43928,"Background"
"153",959641.915527,5690790.39305,706,"Novara",25.64641,1207.76044133,159270.504046,959783.29147,5691989.85048,"Background"
"154",2218173.21293,6456270.65278,3171,"Krakow",60.816944,1212.89097547,1284334.3974,2219370.56961,6456464.15084,"Traffic"
"155",-917619.47567,5385550.76078,1183,"Ferrol",13.152043,1214.1424667,137946.266809,-916508.952997,5386041.5574,"Traffic"
"156",343698.927824,5743913.69066,3353,"Clermont-Ferrand",19.246894,1219.26403163,422420.841767,343572.462258,5745126.37827,"Background"
"157",1283977.93112,5707864.48845,3259,"Vicenza",34.114633,1221.40952419,306586.500863,1284958.6558,5708592.5134,"Traffic"
"158",1150116.24344,5589087.91552,2449,"Parma",22.023553,1225.89608469,242033.439643,1149717.71939,5590247.22557,"Background"
"159",943216.279383,5513973.57472,565,"Savona",31.872686,1227.32904887,123482.163662,944122.864785,5513146.26613,"Traffic"
"160",2419910.96047,4615241.9626,249,"Patras",29.885556,1232.51853758,222899.470174,2419330.70284,4614154.57903,"Traffic"
"161",2002404.53636,7005552.80142,1961,"Bydgoszcz",28.196657,1238.3598049,493839.823726,2003640.15318,7005635.17909,"Traffic"
"162",68542.2933223,5103599.99777,4291,"Lleida",20.024004,1240.08298174,165384.870087,69770.6036182,5103429.52895,"Traffic"
"163",-400761.298805,4462225.67231,3300,"Granada",33.658267,1243.4961404,508590.434828,-400565.376767,4463453.63697,"Background"
"164",-668262.035181,4494241.38692,2008,"Seville",35.295609,1247.47623892,1256010.62941,-667318.274237,4493425.59758,"Traffic"
"165",-412253.180533,4927042.71368,3147,"Madrid",44.545176,1252.23482073,6131918.9979,-411001.745167,4926997.97476,"Background"
"166",2354126.03724,6692192.99397,3371,"Radom",23.168637,1255.00122822,317624.363574,2355301.92695,6692631.52729,"Background"
"167",1606253.44516,6461541.33014,535,"Prague",33.029591,1259.18913985,2005911.337,1605004.71769,6461379.35176,"Background"
