"","FUAId","CellX","CellY","FUAName","NO2AveSatellite","Dist","Pop2015","CBDX","CBDY","Cmin"
"24",8,1266515.31459,5972926.46507,"Innsbruck",44.6595993041992,12757.6728203,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"25",8,1273515.31459,5972926.46507,"Innsbruck",44.6595993041992,13635.8362988,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"26",8,1280515.31459,5972926.46507,"Innsbruck",29.3994007110596,17524.6639725,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"27",8,1259515.31459,5965926.46507,"Innsbruck",22.2150001525879,21524.6681705,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"28",8,1266515.31459,5965926.46507,"Innsbruck",31.8134994506836,19710.1282499,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"29",8,1273515.31459,5965926.46507,"Innsbruck",31.8134994506836,20289.5779012,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"30",8,1266515.31459,5958926.46507,"Innsbruck",22.3976001739502,26687.4520228,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"31",8,1273515.31459,5958926.46507,"Innsbruck",22.3976001739502,27118.2210192,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"32",15,2561515.31459,5293926.46507,"Sofia",24.6040992736816,45395.6397777,1423934.91426,2597273.6769,5265960.34922,24.6040992736816
"33",15,2568515.31459,5293926.46507,"Sofia",24.6040992736816,40114.1750319,1423934.91426,2597273.6769,5265960.34922,24.6040992736816
"34",15,2561515.31459,5286926.46507,"Sofia",29.364200592041,41451.6403648,1423934.91426,2597273.6769,5265960.34922,24.6040992736816
"35",15,2568515.31459,5286926.46507,"Sofia",29.364200592041,35589.6251257,1423934.91426,2597273.6769,5265960.34922,24.6040992736816
"36",15,2575515.31459,5286926.46507,"Sofia",31.7803993225098,30215.9617462,1423934.91426,2597273.6769,5265960.34922,24.6040992736816
"37",15,2582515.31459,5286926.46507,"Sofia",35.8680000305176,25639.5645811,1423934.91426,2597273.6769,5265960.34922,24.6040992736816
"38",15,2589515.31459,5286926.46507,"Sofia",26.4720993041992,22355.5406906,1423934.91426,2597273.6769,5265960.34922,24.6040992736816
"39",15,2596515.31459,5286926.46507,"Sofia",26.4720993041992,20979.826673,1423934.91426,2597273.6769,5265960.34922,24.6040992736816
"40",15,2603515.31459,5286926.46507,"Sofia",29.7014999389648,21875.4669639,1423934.91426,2597273.6769,5265960.34922,24.6040992736816
"41",15,2568515.31459,5279926.46507,"Sofia",36.6668014526367,31970.2329471,1423934.91426,2597273.6769,5265960.34922,24.6040992736816
"42",15,2575515.31459,5279926.46507,"Sofia",31.7803993225098,25854.9554699,1423934.91426,2597273.6769,5265960.34922,24.6040992736816
"43",15,2582515.31459,5279926.46507,"Sofia",35.8680000305176,20318.9972688,1423934.91426,2597273.6769,5265960.34922,24.6040992736816
"44",15,2589515.31459,5279926.46507,"Sofia",38.25830078125,15976.3756112,1423934.91426,2597273.6769,5265960.34922,24.6040992736816
"45",15,2596515.31459,5279926.46507,"Sofia",39.0309982299805,13986.6902922,1423934.91426,2597273.6769,5265960.34922,24.6040992736816
